QueryNumber;DocNumber;DocVotes
00001;139;1222
00001;151;2211
00001;166;0001
00001;311;0001
00001;370;1010
00001;392;0001
00001;439;0001
00001;440;0011
00001;441;2122
00001;454;0100
00001;461;1121
00001;502;0002
00001;503;1000
00001;505;0001
00001;520;1010
00001;522;0001
00001;526;1011
00001;527;1001
00001;533;2222
00001;593;1000
00001;619;0001
00001;737;0100
00001;742;0100
00001;789;0001
00001;827;0010
00001;835;0001
00001;861;0001
00001;875;1121
00001;891;0001
00001;921;1010
00001;922;1010
00001;1175;0100
00001;1185;0001
00001;1222;0001
00002;169;1000
00002;434;1001
00002;454;0100
00002;498;1000
00002;499;1000
00002;592;0002
00002;875;1011
00003;23;1000
00003;40;0010
00003;139;2122
00003;190;0001
00003;221;0001
00003;246;0001
00003;309;1000
00003;311;0011
00003;325;0001
00003;345;0010
00003;347;0010
00003;356;0010
00003;370;1001
00003;374;0001
00003;375;2221
00003;439;0001
00003;440;1120
00003;454;1220
00003;515;1000
00003;520;0010
00003;524;0010
00003;526;1010
00003;527;1220
00003;533;0001
00003;535;0010
00003;560;0010
00003;561;0001
00003;571;0010
00003;584;0010
00003;604;0002
00003;623;0010
00003;633;2222
00003;733;1000
00003;742;1010
00003;854;0100
00003;856;2112
00003;950;0010
00003;967;0001
00003;1144;1111
00003;1161;0001
00003;1172;1000
00003;1175;0001
00003;1196;0002
00004;503;0001
00004;538;0100
00004;539;0100
00004;540;0100
00004;553;0001
00004;604;2222
00004;669;1010
00004;711;2122
00004;876;2222
00005;23;2220
00005;47;2221
00005;50;0001
00005;60;0001
00005;114;0011
00005;132;0001
00005;135;0001
00005;139;0010
00005;151;2222
00005;169;0001
00005;189;0001
00005;190;0001
00005;197;0001
00005;200;0001
00005;226;0001
00005;256;2211
00005;265;0010
00005;297;0001
00005;298;0001
00005;299;0001
00005;311;0001
00005;312;0001
00005;325;1011
00005;333;0001
00005;343;0002
00005;347;0012
00005;349;0001
00005;369;0001
00005;370;1211
00005;371;0001
00005;374;2222
00005;386;1001
00005;392;0001
00005;410;0001
00005;420;0001
00005;427;0001
00005;428;0001
00005;430;1001
00005;434;0001
00005;437;0001
00005;439;2222
00005;440;0010
00005;441;0001
00005;450;0001
00005;461;2120
00005;465;1002
00005;478;0001
00005;496;2120
00005;497;2121
00005;498;1122
00005;499;2122
00005;500;1012
00005;501;0100
00005;502;0100
00005;503;2221
00005;505;0001
00005;511;1101
00005;513;0010
00005;516;1010
00005;520;1000
00005;524;1010
00005;531;0001
00005;533;2211
00005;549;0001
00005;553;1001
00005;559;0001
00005;561;0010
00005;568;0001
00005;590;0001
00005;592;1001
00005;593;2222
00005;604;0002
00005;605;0100
00005;633;2122
00005;669;0010
00005;701;0001
00005;702;1000
00005;710;2212
00005;711;0002
00005;722;0001
00005;724;0002
00005;729;0001
00005;731;0002
00005;733;0002
00005;750;0100
00005;761;0001
00005;763;0001
00005;772;0100
00005;779;0001
00005;788;0001
00005;805;2211
00005;843;0002
00005;845;0001
00005;856;2121
00005;857;1000
00005;861;1212
00005;864;0001
00005;867;0101
00005;875;2222
00005;876;0002
00005;888;0002
00005;889;0002
00005;895;2210
00005;925;0001
00005;935;0001
00005;943;0001
00005;944;0001
00005;975;2112
00005;980;2120
00005;982;0002
00005;990;0002
00005;1000;0002
00005;1019;0001
00005;1038;0001
00005;1040;0001
00005;1064;2220
00005;1076;0001
00005;1080;0001
00005;1088;0001
00005;1091;0001
00005;1092;0002
00005;1093;0002
00005;1098;0001
00005;1144;2111
00005;1156;0001
00005;1175;1120
00005;1185;0001
00005;1188;0001
00005;1196;1000
00005;1223;0001
00005;1226;0001
00006;25;0010
00006;31;2222
00006;90;1000
00006;195;0100
00006;326;0001
00006;370;0110
00006;438;0001
00006;440;0010
00006;441;1000
00006;503;1220
00006;511;0010
00006;586;0001
00006;592;1010
00006;593;1000
00006;722;0001
00006;731;0001
00006;734;0002
00006;805;1000
00006;875;1120
00006;922;0010
00006;963;1000
00006;975;1010
00006;1092;0001
00006;1093;0002
00007;45;0100
00007;53;0001
00007;166;0002
00007;171;0001
00007;256;0101
00007;370;0001
00007;371;2122
00007;386;0001
00007;410;0100
00007;439;0101
00007;535;0001
00007;623;2121
00007;633;0100
00007;634;0100
00007;640;0010
00007;669;0010
00007;831;0100
00007;853;0100
00007;856;2111
00007;857;0100
00007;921;0010
00007;1027;0100
00007;1054;1100
00007;1056;0100
00007;1057;0100
00007;1059;0100
00007;1064;1120
00007;1161;0001
00008;23;2112
00008;169;1000
00008;322;0100
00008;370;1000
00008;386;1000
00008;435;0001
00008;439;1100
00008;463;0001
00008;496;1000
00008;497;0001
00008;498;1000
00008;499;1122
00008;503;0001
00008;605;0001
00008;683;2220
00008;710;1000
00008;750;0010
00008;771;1000
00008;867;1000
00008;875;0001
00008;944;0001
00008;1125;2220
00009;165;1122
00009;174;0001
00009;362;0001
00009;370;0001
00009;414;2222
00009;443;0100
00009;794;2110
00009;992;1010
00009;1040;0001
00009;1115;0102
00010;30;2112
00010;126;1001
00010;157;2222
00010;170;1112
00010;296;1212
00010;301;0001
00010;322;0001
00010;370;1100
00010;413;2222
00010;443;1120
00010;581;2222
00010;676;2122
00010;715;0010
00010;722;0001
00010;728;1101
00010;758;1000
00010;782;1010
00010;835;0010
00010;878;2122
00010;941;1000
00010;1115;1222
00010;1215;0010
00010;1218;2122
00010;1234;0001
00010;1239;1101
00011;36;0001
00011;46;0001
00011;96;2210
00011;186;1000
00011;301;1000
00011;428;1002
00011;518;2110
00011;649;0010
00011;652;0001
00011;659;0010
00011;772;1010
00011;796;2222
00011;798;2212
00011;799;0010
00011;835;1000
00011;837;0001
00011;908;1000
00011;909;2222
00011;991;2222
00011;1119;0100
00011;1178;1000
00011;1226;0002
00012;70;2212
00012;181;0001
00012;443;2120
00012;466;2220
00012;755;0010
00012;918;1000
00012;1115;0001
00013;156;2112
00013;301;1112
00013;314;2222
00013;322;1220
00013;370;0100
00013;443;1120
00013;462;1010
00013;522;0100
00013;643;1000
00013;695;1220
00013;715;0010
00013;719;0010
00013;722;0001
00013;763;0101
00013;764;0001
00013;791;2211
00013;822;0001
00013;900;0100
00013;902;1101
00013;978;1000
00013;1017;0010
00013;1033;0001
00013;1097;0001
00013;1124;0002
00014;5;1100
00014;89;0100
00014;92;0001
00014;131;2212
00014;135;0001
00014;150;2222
00014;156;1000
00014;203;0010
00014;232;0010
00014;233;1122
00014;234;1121
00014;291;0001
00014;297;0001
00014;314;1000
00014;319;0010
00014;344;2112
00014;345;2210
00014;356;0001
00014;367;2210
00014;370;1110
00014;379;0001
00014;405;2112
00014;413;0001
00014;417;1211
00014;419;0002
00014;421;0001
00014;424;0001
00014;462;2212
00014;465;1102
00014;492;1000
00014;584;1001
00014;602;1011
00014;616;2120
00014;635;2122
00014;662;0100
00014;695;0010
00014;719;0011
00014;777;1012
00014;791;2122
00014;809;0010
00014;815;2222
00014;852;2222
00014;889;0001
00014;899;2222
00014;930;0002
00014;941;1011
00014;1000;0001
00014;1008;2220
00014;1013;0011
00014;1100;2222
00014;1117;2220
00014;1124;2122
00014;1135;1002
00014;1206;1000
00014;1234;1001
00015;17;0001
00015;59;2122
00015;63;1000
00015;72;0001
00015;91;0001
00015;95;0001
00015;97;0001
00015;98;0001
00015;99;2112
00015;135;0001
00015;149;1011
00015;174;2220
00015;197;1001
00015;204;2222
00015;205;2212
00015;226;0002
00015;232;0100
00015;238;0001
00015;266;2222
00015;297;0001
00015;301;2122
00015;322;2122
00015;339;2212
00015;350;0001
00015;354;0001
00015;355;2112
00015;364;1112
00015;370;2111
00015;385;2222
00015;398;0011
00015;408;0100
00015;410;1102
00015;413;0100
00015;414;0100
00015;420;0001
00015;422;2222
00015;423;2221
00015;424;0010
00015;426;0001
00015;434;0001
00015;443;2222
00015;474;1120
00015;545;1212
00015;549;2112
00015;550;0001
00015;601;2122
00015;603;0011
00015;611;0001
00015;642;1010
00015;643;0001
00015;657;0001
00015;673;0001
00015;690;2121
00015;700;2212
00015;720;2222
00015;722;1122
00015;724;0001
00015;725;1010
00015;729;0001
00015;731;0001
00015;735;0001
00015;747;1010
00015;752;2212
00015;763;1102
00015;764;1001
00015;767;0001
00015;792;0010
00015;794;1000
00015;816;0001
00015;822;0002
00015;833;0001
00015;837;0001
00015;844;0002
00015;853;1000
00015;854;1101
00015;857;1000
00015;863;1001
00015;870;2222
00015;875;0001
00015;888;0001
00015;889;0001
00015;900;1001
00015;944;1002
00015;990;0002
00015;993;1000
00015;994;1221
00015;1000;1002
00015;1013;1001
00015;1016;1001
00015;1027;0010
00015;1033;0001
00015;1040;0002
00015;1093;0001
00015;1098;0002
00015;1115;0002
00015;1162;0012
00015;1184;2222
00015;1187;0001
00015;1192;2222
00015;1195;0001
00015;1226;0002
00015;1232;0001
00015;1234;0001
00015;1235;2220
00016;5;0001
00016;10;0001
00016;17;0001
00016;36;0010
00016;41;0110
00016;46;1111
00016;69;0002
00016;72;0001
00016;89;2222
00016;92;0010
00016;95;2222
00016;97;1000
00016;98;1000
00016;126;0001
00016;129;2120
00016;130;0001
00016;132;0001
00016;134;1000
00016;135;0012
00016;148;0001
00016;150;1000
00016;168;0001
00016;181;1011
00016;182;2222
00016;186;2122
00016;189;0001
00016;197;1000
00016;202;1000
00016;205;0001
00016;212;0001
00016;225;0001
00016;226;0002
00016;238;0011
00016;240;2210
00016;255;0001
00016;288;0001
00016;290;0001
00016;292;0001
00016;297;0001
00016;298;1001
00016;301;2222
00016;314;2120
00016;320;0001
00016;322;1122
00016;330;0001
00016;331;0001
00016;333;1001
00016;350;0011
00016;357;0001
00016;359;0012
00016;364;2112
00016;370;2112
00016;376;2220
00016;386;0001
00016;396;2222
00016;398;1010
00016;413;0001
00016;421;1000
00016;424;1012
00016;428;1002
00016;434;0010
00016;443;2222
00016;462;0010
00016;466;1222
00016;468;2121
00016;472;0010
00016;473;0001
00016;475;2122
00016;478;0011
00016;489;0001
00016;490;0001
00016;510;0001
00016;512;0010
00016;518;1011
00016;522;2110
00016;550;0012
00016;553;0001
00016;559;0001
00016;581;0001
00016;582;1010
00016;586;0001
00016;594;2220
00016;615;0001
00016;616;0001
00016;641;1012
00016;642;1102
00016;643;0011
00016;649;2122
00016;656;0001
00016;657;1001
00016;658;1001
00016;659;2122
00016;660;1001
00016;662;1001
00016;673;0001
00016;676;0002
00016;708;1000
00016;709;1000
00016;711;0001
00016;715;0001
00016;719;1001
00016;722;1122
00016;723;0001
00016;724;0001
00016;725;0001
00016;727;1222
00016;729;0001
00016;730;0001
00016;731;0002
00016;735;0001
00016;755;1011
00016;756;1111
00016;758;0001
00016;762;0010
00016;763;1102
00016;764;0002
00016;767;0001
00016;770;1100
00016;772;2122
00016;783;1000
00016;791;1001
00016;797;0001
00016;799;2222
00016;809;1000
00016;810;0001
00016;816;0011
00016;822;0002
00016;834;2222
00016;835;0001
00016;837;0001
00016;844;0002
00016;867;0010
00016;870;0001
00016;872;2210
00016;875;0001
00016;882;0002
00016;888;0002
00016;889;0002
00016;893;0001
00016;896;1000
00016;901;2210
00016;902;1010
00016;919;0001
00016;928;1000
00016;932;0001
00016;935;1111
00016;937;1001
00016;938;0001
00016;941;0001
00016;943;0011
00016;944;1001
00016;970;0010
00016;974;0010
00016;984;1010
00016;990;0001
00016;991;1000
00016;993;1122
00016;994;0010
00016;1000;1002
00016;1002;1010
00016;1016;1011
00016;1017;2211
00016;1023;0002
00016;1033;0001
00016;1037;0001
00016;1051;1000
00016;1066;0001
00016;1076;0001
00016;1080;0002
00016;1098;0002
00016;1101;0002
00016;1115;0002
00016;1135;0001
00016;1154;1012
00016;1158;0001
00016;1189;0001
00016;1192;1111
00016;1226;1220
00016;1232;0001
00016;1234;1001
00017;49;2122
00017;89;2120
00017;101;0010
00017;128;0001
00017;132;0001
00017;135;0001
00017;153;0002
00017;189;0001
00017;233;0010
00017;238;0001
00017;297;0001
00017;298;0001
00017;301;0002
00017;330;0001
00017;333;0001
00017;357;1111
00017;359;1102
00017;370;0111
00017;428;1002
00017;443;1100
00017;450;0010
00017;506;0010
00017;643;0011
00017;660;0010
00017;662;2120
00017;688;2221
00017;722;0001
00017;729;0001
00017;730;0011
00017;731;0002
00017;735;0002
00017;791;1122
00017;810;2112
00017;816;0012
00017;837;0001
00017;839;0001
00017;845;0001
00017;882;0002
00017;889;0002
00017;897;1000
00017;937;0001
00017;938;0001
00017;941;1001
00017;944;1001
00017;1000;0001
00017;1023;0001
00017;1040;0001
00017;1069;0001
00017;1080;0001
00017;1088;0002
00017;1101;2221
00017;1103;1120
00017;1115;0001
00017;1187;0001
00017;1234;0001
00018;129;2122
00018;153;0001
00018;205;2120
00018;226;0002
00018;364;0100
00018;370;1010
00018;414;0002
00018;424;1110
00018;443;0010
00018;642;1000
00018;656;1001
00018;657;1010
00018;658;1010
00018;660;1010
00018;725;1110
00018;816;1000
00018;935;1010
00018;993;1110
00018;994;1000
00018;1016;2110
00018;1162;1100
00019;21;2220
00019;49;0001
00019;359;1011
00019;370;1100
00019;398;0001
00019;432;2121
00019;455;0010
00019;487;2222
00019;506;2222
00019;618;2222
00019;626;2222
00019;672;2212
00019;688;2222
00019;693;2222
00019;897;2222
00019;936;0010
00019;944;0001
00019;1000;0001
00019;1049;2221
00019;1103;2222
00019;1129;0001
00019;1205;0001
00020;126;2112
00020;133;0002
00020;153;0002
00020;181;0010
00020;207;2122
00020;208;2122
00020;220;2221
00020;278;2111
00020;283;1100
00020;286;2111
00020;287;2111
00020;288;1100
00020;290;2111
00020;292;2111
00020;370;0110
00020;443;0010
00020;538;2122
00020;539;2111
00020;540;2222
00020;544;2111
00020;604;0100
00020;643;0001
00020;711;1210
00020;715;1011
00020;731;0001
00020;758;2222
00020;767;0100
00020;791;0001
00020;823;2222
00020;824;1001
00020;882;0002
00020;919;1000
00020;924;2222
00020;928;1000
00020;944;0001
00020;962;2222
00020;970;1001
00020;1066;2222
00020;1080;0010
00020;1115;2222
00020;1168;2222
00020;1189;0001
00020;1213;2222
00020;1215;2222
00020;1234;1001
00020;1239;1120
00021;68;2112
00021;97;0002
00021;98;0012
00021;181;0001
00021;251;2112
00021;413;0001
00021;416;0001
00021;434;0001
00021;443;0002
00021;551;0100
00021;615;0001
00021;676;0001
00021;708;2122
00021;709;2222
00021;719;1100
00021;722;0001
00021;751;0001
00021;756;0010
00021;757;0100
00021;932;0001
00021;941;1101
00021;1098;0002
00021;1115;1122
00021;1158;2221
00021;1189;0001
00022;13;2222
00022;39;0012
00022;67;0001
00022;69;0001
00022;104;0001
00022;130;2222
00022;189;0001
00022;197;0001
00022;221;0001
00022;226;0001
00022;237;0101
00022;247;0010
00022;258;2221
00022;262;2112
00022;276;2222
00022;322;0001
00022;325;0001
00022;333;0001
00022;342;0110
00022;343;0101
00022;350;0100
00022;365;0001
00022;370;1012
00022;392;0001
00022;431;1121
00022;464;0001
00022;465;0001
00022;473;1121
00022;478;1121
00022;503;1101
00022;510;0101
00022;512;0110
00022;514;1001
00022;586;0001
00022;590;0011
00022;654;0101
00022;671;1101
00022;682;0001
00022;692;2222
00022;704;2111
00022;713;0001
00022;729;0001
00022;731;0002
00022;735;0001
00022;764;1212
00022;774;0101
00022;788;1011
00022;843;0102
00022;845;0002
00022;871;1001
00022;880;1012
00022;881;0102
00022;882;0002
00022;888;0002
00022;898;2212
00022;908;1111
00022;942;0001
00022;946;0001
00022;968;0100
00022;1000;0002
00022;1033;0001
00022;1040;0001
00022;1083;1122
00022;1093;0001
00022;1114;1002
00022;1144;0100
00022;1156;1111
00022;1166;0110
00022;1194;1121
00022;1195;0001
00023;9;2221
00023;10;2122
00023;11;1100
00023;12;2212
00023;34;2222
00023;42;2222
00023;99;1112
00023;162;1000
00023;163;0001
00023;167;1000
00023;198;1000
00023;248;1000
00023;285;0010
00023;322;0101
00023;350;1001
00023;370;1002
00023;426;2122
00023;434;1212
00023;464;1000
00023;509;2222
00023;541;2222
00023;582;0002
00023;583;1000
00023;598;0002
00023;716;1002
00023;780;1000
00023;859;2120
00023;883;0001
00023;888;1002
00023;979;2222
00023;984;0002
00023;1096;0011
00023;1114;2222
00023;1156;0010
00023;1163;1000
00024;32;1100
00024;72;0001
00024;199;0001
00024;207;0001
00024;210;2220
00024;240;0001
00024;254;2111
00024;331;0001
00024;370;1000
00024;377;0001
00024;411;0001
00024;477;0001
00024;492;0001
00024;522;0001
00024;552;0002
00024;559;0010
00024;611;1001
00024;647;2222
00024;677;0001
00024;724;0002
00024;763;0001
00024;858;0001
00024;913;2222
00024;915;2211
00024;926;2121
00024;934;0001
00024;1000;0001
00024;1031;1011
00024;1109;2222
00024;1195;1121
00024;1232;0001
00025;72;2112
00025;74;2110
00025;83;0111
00025;84;0011
00025;106;1012
00025;112;0001
00025;120;0102
00025;141;0001
00025;162;1001
00025;172;0001
00025;198;1012
00025;221;0001
00025;276;0001
00025;370;1010
00025;390;0010
00025;392;0001
00025;411;2111
00025;415;1000
00025;425;0001
00025;431;2222
00025;432;0002
00025;464;0010
00025;465;1102
00025;503;1121
00025;505;0001
00025;530;0001
00025;550;0001
00025;559;0001
00025;566;1000
00025;568;1000
00025;569;1011
00025;622;0001
00025;647;2122
00025;855;0001
00025;858;2111
00025;875;0001
00025;880;0002
00025;881;1002
00025;891;0001
00025;913;2222
00025;915;0001
00025;926;2121
00025;949;0001
00025;977;1000
00025;1027;0001
00025;1031;1000
00025;1083;0001
00025;1156;0110
00025;1194;1121
00025;1195;1112
00025;1210;0001
00026;74;0110
00026;104;2212
00026;199;2222
00026;221;0001
00026;281;2222
00026;285;2112
00026;328;2111
00026;333;0001
00026;342;2110
00026;343;1100
00026;370;0010
00026;392;0001
00026;431;2222
00026;434;0001
00026;442;0002
00026;465;0001
00026;485;0010
00026;488;0010
00026;490;0001
00026;610;2122
00026;617;2222
00026;665;1112
00026;713;0010
00026;774;0101
00026;807;1122
00026;855;0010
00026;881;0102
00026;942;1101
00026;1061;2222
00026;1144;2222
00026;1166;2211
00026;1194;1121
00026;1195;0001
00027;98;1102
00027;179;0001
00027;599;2222
00027;756;0002
00027;858;0001
00027;905;2122
00027;912;0001
00027;913;1001
00027;1000;0100
00027;1083;0100
00027;1096;0002
00028;134;0001
00028;135;0102
00028;136;0001
00028;215;1112
00028;274;1000
00028;300;0002
00028;322;0002
00028;331;0001
00028;333;0001
00028;343;0001
00028;351;2112
00028;352;2112
00028;370;1112
00028;392;0001
00028;398;0001
00028;465;0001
00028;467;0001
00028;477;2121
00028;510;0001
00028;550;0001
00028;559;0001
00028;586;0001
00028;611;0001
00028;665;0001
00028;722;1012
00028;724;0102
00028;729;0001
00028;735;0001
00028;759;2111
00028;763;0102
00028;822;1212
00028;832;0001
00028;837;0001
00028;875;0001
00028;882;0002
00028;913;0001
00028;937;0001
00028;942;0101
00028;944;0001
00028;969;0001
00028;990;0002
00028;1000;1102
00028;1033;0102
00028;1040;0102
00028;1083;1112
00028;1093;0102
00028;1187;0001
00028;1192;0102
00028;1222;0001
00028;1226;0001
00028;1234;0102
00029;15;1012
00029;100;0001
00029;215;2122
00029;274;2222
00029;300;2212
00029;322;2222
00029;333;0101
00029;343;0001
00029;350;0110
00029;351;2122
00029;352;2122
00029;353;2220
00029;370;1112
00029;385;0001
00029;392;0001
00029;434;0001
00029;442;0001
00029;477;1120
00029;510;0001
00029;553;0001
00029;687;0010
00029;714;1002
00029;722;1012
00029;724;0102
00029;729;0001
00029;759;2212
00029;763;1102
00029;764;1000
00029;788;1000
00029;822;0102
00029;832;1222
00029;837;0001
00029;875;0001
00029;937;0001
00029;942;0101
00029;944;1102
00029;1000;0001
00029;1033;0100
00029;1040;0101
00029;1083;0002
00029;1093;0100
00029;1184;0100
00029;1192;1122
00029;1234;0102
00030;117;0002
00030;328;0101
00030;332;0001
00030;433;2122
00030;492;0001
00030;557;0002
00030;586;2112
00030;687;0010
00030;775;0001
00030;880;2112
00030;881;0001
00030;911;2212
00030;942;1010
00030;1001;0011
00030;1084;0100
00030;1224;1212
00030;1234;0001
00031;43;2222
00031;69;0001
00031;127;1112
00031;128;1000
00031;136;1101
00031;145;0002
00031;168;0101
00031;189;1112
00031;213;0001
00031;226;1122
00031;239;2222
00031;272;0100
00031;330;1111
00031;331;1001
00031;332;2222
00031;359;0100
00031;370;1111
00031;389;1000
00031;433;2222
00031;448;2122
00031;467;2222
00031;512;0100
00031;550;0001
00031;551;0101
00031;557;2222
00031;586;2222
00031;620;1001
00031;628;0111
00031;651;2221
00031;701;1100
00031;722;1001
00031;724;1000
00031;729;0101
00031;735;0100
00031;760;2222
00031;762;1000
00031;764;1000
00031;839;1212
00031;845;2222
00031;882;1112
00031;937;0101
00031;938;1212
00031;940;0101
00031;942;1012
00031;944;0001
00031;999;2222
00031;1000;0101
00031;1020;2122
00031;1022;1222
00031;1036;2112
00031;1040;1102
00031;1084;2222
00031;1093;0002
00031;1187;0101
00031;1224;1120
00031;1232;0001
00031;1233;2222
00031;1234;0102
00032;43;1000
00032;127;0001
00032;128;1000
00032;181;0001
00032;184;2222
00032;189;0002
00032;212;0011
00032;226;0001
00032;239;0011
00032;315;1000
00032;330;0001
00032;331;0001
00032;370;1000
00032;389;1112
00032;433;1121
00032;467;1000
00032;473;0001
00032;489;1000
00032;506;0010
00032;586;1011
00032;722;1122
00032;735;0001
00032;764;0001
00032;882;0001
00032;937;0001
00032;999;1000
00032;1040;0101
00032;1093;0001
00032;1220;0001
00032;1234;1100
00033;37;0101
00033;65;0001
00033;91;2222
00033;94;2220
00033;96;0001
00033;210;2220
00033;225;0012
00033;297;0001
00033;359;1011
00033;370;1212
00033;403;2212
00033;404;0002
00033;413;0002
00033;465;2222
00033;515;0001
00033;612;2222
00033;637;2220
00033;638;2220
00033;663;0001
00033;719;0001
00033;721;2222
00033;731;0001
00033;763;1001
00033;764;0002
00033;773;0001
00033;793;0010
00033;795;1000
00033;797;2210
00033;811;2222
00033;818;2220
00033;822;0001
00033;825;2222
00033;846;0001
00033;882;0001
00033;888;1002
00033;889;0002
00033;916;2222
00033;920;2212
00033;927;2121
00033;978;2110
00033;981;1000
00033;995;1121
00033;996;2222
00033;1000;0100
00033;1023;0001
00033;1052;2222
00033;1072;0001
00033;1098;0001
00033;1105;2222
00033;1113;2222
00033;1122;1112
00033;1123;0112
00033;1183;1122
00033;1186;1222
00033;1189;0011
00033;1215;0010
00033;1234;1222
00034;37;2222
00034;65;2212
00034;76;0011
00034;77;0100
00034;94;0002
00034;135;0001
00034;225;0002
00034;235;0010
00034;236;0010
00034;247;0010
00034;261;2122
00034;277;0010
00034;297;0001
00034;359;0010
00034;403;2221
00034;404;2222
00034;465;2222
00034;471;2221
00034;552;0001
00034;627;0001
00034;637;2222
00034;638;2222
00034;721;2222
00034;773;2211
00034;795;2222
00034;817;2222
00034;818;0001
00034;825;0100
00034;846;2222
00034;916;2221
00034;933;0001
00034;941;0100
00034;944;0001
00034;995;2222
00034;1000;0100
00034;1023;0001
00034;1052;0101
00034;1186;0001
00034;1234;0001
00035;32;1000
00035;120;0100
00035;210;2222
00035;811;1120
00035;825;0100
00035;888;0001
00035;913;2110
00035;915;2120
00035;920;0100
00035;926;0010
00035;948;0010
00035;1105;0001
00035;1109;2222
00035;1119;0001
00036;66;1000
00036;325;0001
00036;370;0002
00036;403;1100
00036;612;2120
00036;721;1000
00036;722;2220
00036;724;0001
00036;1052;2220
00037;3;2112
00037;4;1000
00037;28;2120
00037;33;2222
00037;35;2122
00037;38;2222
00037;65;1001
00037;71;1111
00037;76;1002
00037;116;0001
00037;119;0001
00037;120;1222
00037;131;2222
00037;148;0001
00037;150;0001
00037;158;2222
00037;175;2222
00037;203;2122
00037;220;0001
00037;225;2222
00037;231;0012
00037;233;0010
00037;234;2222
00037;238;0011
00037;247;2112
00037;280;1212
00037;291;0001
00037;294;1000
00037;318;2222
00037;319;2111
00037;333;1012
00037;334;1001
00037;342;0001
00037;345;0001
00037;370;0012
00037;378;2122
00037;379;2222
00037;380;2222
00037;392;0001
00037;403;0001
00037;428;1001
00037;433;1000
00037;443;0001
00037;465;2222
00037;470;2121
00037;476;1122
00037;482;2222
00037;483;2222
00037;491;2222
00037;492;2222
00037;510;0001
00037;512;0001
00037;514;0001
00037;596;0001
00037;600;2222
00037;627;1112
00037;671;0001
00037;697;2222
00037;711;0010
00037;712;2122
00037;717;2222
00037;721;1000
00037;731;0002
00037;774;1011
00037;776;0001
00037;815;2222
00037;817;2122
00037;818;0001
00037;831;2221
00037;835;2122
00037;849;2222
00037;866;1012
00037;871;0012
00037;877;2222
00037;888;0001
00037;930;2122
00037;933;1111
00037;941;1000
00037;942;1211
00037;944;0100
00037;946;2222
00037;991;2212
00037;1008;2222
00037;1011;1011
00037;1014;2222
00037;1028;2222
00037;1080;0001
00037;1126;2222
00037;1128;1222
00037;1130;0001
00037;1131;1122
00037;1133;2222
00037;1135;0111
00037;1174;1222
00037;1176;2222
00037;1178;2122
00037;1182;1222
00037;1234;1212
00038;14;2122
00038;76;0001
00038;117;1010
00038;142;0001
00038;252;0100
00038;360;2212
00038;370;0001
00038;390;2222
00038;392;0001
00038;444;0001
00038;465;1212
00038;503;0001
00038;505;0010
00038;510;0001
00038;572;0010
00038;573;0010
00038;621;0001
00038;622;0002
00038;627;0001
00038;634;2112
00038;644;1121
00038;646;1001
00038;666;1010
00038;702;0002
00038;729;0001
00038;776;0001
00038;786;1000
00038;856;0001
00038;862;0001
00038;866;0100
00038;873;1002
00038;881;1000
00038;882;0002
00038;888;0001
00038;971;1122
00038;990;0002
00038;1001;1000
00038;1024;1001
00038;1027;1000
00038;1029;1000
00038;1059;1000
00038;1066;0001
00038;1068;1222
00038;1072;0001
00038;1075;1000
00038;1130;1222
00038;1136;1222
00038;1140;1122
00038;1146;0011
00038;1148;0011
00038;1160;0011
00038;1230;1000
00038;1234;1210
00039;3;1000
00039;67;0001
00039;74;0001
00039;76;0001
00039;83;2121
00039;84;0001
00039;85;2122
00039;102;1000
00039;107;0001
00039;108;0002
00039;112;0011
